ngo:1ZFX-UT2V-87KR-N3EY	crm:P39_measured	ngo:0D0E-0001-0000-0000	event|object
//subgraph Pyramid			
//subgraph Pyramidal Levels			
N02f1971b0b564dc6bf800010b96f9289	rdfs:label	Number of pyramidal levels	dims_bn|note
N02f1971b0b564dc6bf800010b96f9289	crm:P90_has_value	6	|literal
N02f1971b0b564dc6bf800010b96f9289	crm:P2_has_type	crm:E54_Dimension	|type
N02f1971b0b564dc6bf800010b96f9289	rdf:type	crm:E54_Dimension	|type
//end			
ngo:3UFH-4E94-4ZCU-VSYE	crm:P1_is_identifed_by	Nc61a3e9bcd094264ada9250dc99a5d6cXX	object|object_bn
ngo:3UFH-4E94-4ZCU-VSYE	crm:P43_has_dimension	N02f1971b0b564dc6bf800010b96f9289	
//subgraph Pyramid File Name			
Nc61a3e9bcd094264ada9250dc99a5d6cXX	crm:P2_has_type	wd:Q1144928	
wd:Q1144928	rdfs:label	filename	
Nc61a3e9bcd094264ada9250dc99a5d6cXX	crm:P2_has_type	crm:E42_Identifier	|type
Nc61a3e9bcd094264ada9250dc99a5d6cXX	rdf:type	crm:E42_Identifier	|type
Nc61a3e9bcd094264ada9250dc99a5d6cXX	rdfs:label	N-0027-00-000060-PYR.tif	
//end			
ngo:3UFH-4E94-4ZCU-VSYE	crm:P2_has_type	wd:Q3411251	
wd:Q3411251	rdfs:label	pyramid	
//end			
N3017590f9ff54ca4b46ccdeac8e55903	rdf:type	dig:D3_Formal_Derivation	event_bn|type
N3017590f9ff54ca4b46ccdeac8e55903	dig:L23_used_software_or_firmware	ngo:XE06-LC28-SMX0-OTVO	|object
N3017590f9ff54ca4b46ccdeac8e55903	crm:P2_has_type	dig:D3_Formal_Derivation	
N3017590f9ff54ca4b46ccdeac8e55903	dig:L21_used_as_derivation_source	ngo:3UFH-4E94-4ZCU-VSYE	|object
N3017590f9ff54ca4b46ccdeac8e55903	dig:L22_created_derivative	ngo:62NG-RN57-CLEB-AMSM	|object
//subgraph Digital Image of NG27			
aat:300215302	rdfs:label	digital images	
ngo:5TGX-GBZ4-XV2A-XQGC	crm:P108i_was_produced_by	ngo:1ZFX-UT2V-87KR-N3EY	object|event
ngo:5TGX-GBZ4-XV2A-XQGC	crm:P43_has_dimension	N35acaf74c9a848eaaa6bd3a17be7ffe8	|dims_bn
aat:300266226	rdfs:label	TIFF	
ngo:5TGX-GBZ4-XV2A-XQGC	crm:P2_has_type	aat:300215302	
ngo:5TGX-GBZ4-XV2A-XQGC	crm:P149_is_identified_by	Nc61a3e9bcd094264ada9250dc99a5d6c	|dims_bn
//subgraph File Name			
Nc61a3e9bcd094264ada9250dc99a5d6c	crm:P2_has_type	wd:Q1144928	
wd:Q1144928	rdfs:label	filename	
Nc61a3e9bcd094264ada9250dc99a5d6c	crm:P2_has_type	crm:E42_Identifier	|type
Nc61a3e9bcd094264ada9250dc99a5d6c	rdf:type	crm:E42_Identifier	|type
Nc61a3e9bcd094264ada9250dc99a5d6c	rdfs:label	N-0027-00-000060.tif	
//end			
//subgraph Bit Depth			
wd:Q270159	rdfs:label	8-bit	
aat:300265866	rdfs:label	bits (computing)	
aat:300410392	rdfs:label	bit depth	
N35acaf74c9a848eaaa6bd3a17be7ffe8	crm:P2_has_type	wd:Q270159	dims_bn|
N35acaf74c9a848eaaa6bd3a17be7ffe8	rdf:type	crm:E54_Dimension	|type
N35acaf74c9a848eaaa6bd3a17be7ffe8	crm:P2_has_type	aat:300410392	
N35acaf74c9a848eaaa6bd3a17be7ffe8	crm:P91_has_unit	aat:300265866	
N35acaf74c9a848eaaa6bd3a17be7ffe8	crm:P2_has_type	crm:E54_Dimension	|type
//end			
//subgraph X-Ray Imaging Event			
aat:300056058	rdfs:label	x-ray (radiation)	
aat:300379861	rdfs:label	imaging (image making process)	
aat:300419323	rdfs:label	x-radiography	
ngo:1ZFX-UT2V-87KR-N3EY	rdf:type	crm:E16_Measurement	event|type
